|articles/0001_Regieren ohne Zipfelmützen.txt| https://jungle.world/artikel/2018/04/regieren-ohne-zipfelmuetzen 2018-01-25 |Sebastian Weiermann| inland []
|articles/0041_Shopping immer,  rückwärts nimmer.txt| https://jungle.world/artikel/2018/04/shopping-immer-rueckwaerts-nimmer 2018-01-25 |Hans-Georg Schaefer| dschungel []
|articles/0042_»Grenzfiguren  des Rechts«.txt| https://jungle.world/artikel/2018/03/grenzfiguren-des-rechts 2018-01-18 |Till Schmidt| interview []
|articles/0043_Mit großem Knall zurück zum Kampf.txt| https://jungle.world/artikel/2018/04/mit-grossem-knall-zurueck-zum-kampf 2018-01-25 |David Graaff| ausland []
|articles/0044_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
|articles/0045_Die Normalisierung des Ausnahmezustands.txt| https://jungle.world/artikel/2018/04/die-normalisierung-des-ausnahmezustands 2018-01-28 |René Thannhäuser| ausland []
|articles/0046_»Du hast keine Chance,  aber nutze sie«.txt| https://jungle.world/artikel/2018/03/du-hast-keine-chance-aber-nutze-sie 2018-01-21 |Enno Stahl| id-58265 []
|articles/0047_»Minderheiten abschlachten«.txt| https://jungle.world/artikel/2018/04/minderheiten-abschlachten 2018-01-23 |Markus Ströhlein| small-talk []
|articles/0048_Beliebter grüner Fleck.txt| https://jungle.world/artikel/2018/04/beliebter-gruener-fleck 2018-01-25 |Linda Schnepel| reportage []
|articles/0049_Dein Telefon weiß, wie’s dir geht.txt| https://jungle.world/artikel/2018/04/dein-telefon-weiss-wies-dir-geht 2018-01-25 |Enno Park| seite-16 []
|articles/0050_»Der Reichtum wurde weiter konzentriert«.txt| https://jungle.world/artikel/2018/04/der-reichtum-wurde-weiter-konzentriert 2018-01-25 |Anton Landgraf| interview []
|articles/0051_Der Pakt macht Probleme.txt| https://jungle.world/artikel/2018/04/der-pakt-macht-probleme 2018-01-25 |Nis Melbye| ausland []
|articles/0052_Dies ist keine Übung.txt| https://jungle.world/artikel/2018/03/dies-ist-keine-uebung 2018-01-18 |Jörn Schulz| thema []
|articles/0053_Kein Pardon für Fake News.txt| https://jungle.world/artikel/2018/03/kein-pardon-fuer-fake-news 2018-01-18 |Bernhard Schmid| dschungel []
|articles/0054_»Bei Bitcoin geht es weniger um Technologie als um Psychologie«.txt| https://jungle.world/artikel/2018/04/bei-bitcoin-geht-es-weniger-um-technologie-als-um-psychologie 2018-01-25 |Malte Voß| thema []
|articles/0055_Ein Herz ist weg.txt| https://jungle.world/artikel/2018/03/ein-herz-ist-weg 2018-01-18 |Magnus Klaue| dschungel []
|articles/0056_»Es gibt Erfolge des Feminismus«.txt| https://jungle.world/artikel/2018/03/es-gibt-erfolge-des-feminismus 2018-01-18 |Julia Hoffmann| thema []
|articles/0057_Shopping immer,  rückwärts nimmer.txt| https://jungle.world/artikel/2018/04/shopping-immer-rueckwaerts-nimmer 2018-01-25 |Hans-Georg Schaefer| dschungel []
|articles/0058_Mit großem Knall zurück zum Kampf.txt| https://jungle.world/artikel/2018/04/mit-grossem-knall-zurueck-zum-kampf 2018-01-25 |David Graaff| ausland []
|articles/0059_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
|articles/0060_Die Normalisierung des Ausnahmezustands.txt| https://jungle.world/artikel/2018/04/die-normalisierung-des-ausnahmezustands 2018-01-28 |René Thannhäuser| ausland []
|articles/0061_Haltbarkeitsdatum ungewiss.txt| https://jungle.world/artikel/2018/03/haltbarkeitsdatum-ungewiss 2018-01-18 |Henrike von Dewitz| reportage []
|articles/0062_Möchtegernwikinger auf Streife.txt| https://jungle.world/artikel/2018/03/moechtegernwikinger-auf-streife 2018-01-18 |Johannes Hartl| antifa []
|articles/0063_Beliebter grüner Fleck.txt| https://jungle.world/artikel/2018/04/beliebter-gruener-fleck 2018-01-25 |Linda Schnepel| reportage []
|articles/0064_Wahlkampf ohne Konkurrenz.txt| https://jungle.world/artikel/2018/03/wahlkampf-ohne-konkurrenz 2018-01-18 |Ute Weinmann| ausland []
|articles/0065_Dein Telefon weiß, wie’s dir geht.txt| https://jungle.world/artikel/2018/04/dein-telefon-weiss-wies-dir-geht 2018-01-25 |Enno Park| seite-16 []
|articles/0066_»Der Reichtum wurde weiter konzentriert«.txt| https://jungle.world/artikel/2018/04/der-reichtum-wurde-weiter-konzentriert 2018-01-25 |Anton Landgraf| interview []
|articles/0067_Der Pakt macht Probleme.txt| https://jungle.world/artikel/2018/04/der-pakt-macht-probleme 2018-01-25 |Nis Melbye| ausland []
|articles/0068_O-Töne aus Ost­afrika.txt| https://jungle.world/artikel/2018/03/o-toene-aus-ost-afrika 2018-01-18 |Kristof Maria Künssler| dschungel []
|articles/0069_Diskreter Charme des Rautenpragmatismus.txt| https://jungle.world/artikel/2018/03/diskreter-charme-des-rautenpragmatismus 2018-01-18 |Konstantin Bethscheider| inland []
|articles/0070_»Bei Bitcoin geht es weniger um Technologie als um Psychologie«.txt| https://jungle.world/artikel/2018/04/bei-bitcoin-geht-es-weniger-um-technologie-als-um-psychologie 2018-01-25 |Malte Voß| thema []
|articles/0071_Hoffnung aus dem Kernland.txt| https://jungle.world/artikel/2018/03/hoffnung-aus-dem-kernland 2018-01-18 |Emanuel Bergmann| thema []
|articles/0072_Das bisschen  Facebook.txt| https://jungle.world/artikel/2018/03/das-bisschen-facebook 2018-01-18 |Enno Park| disko []
|articles/0073_Transparenz statt Gleichheit.txt| https://jungle.world/artikel/2018/03/transparenz-statt-gleichheit 2018-01-18 |Stefan Dietl| inland []
|articles/0074_Shopping immer,  rückwärts nimmer.txt| https://jungle.world/artikel/2018/04/shopping-immer-rueckwaerts-nimmer 2018-01-25 |Hans-Georg Schaefer| dschungel []
|articles/0075_Die Rückkehr der Flammen.txt| https://jungle.world/artikel/2018/03/die-rueckkehr-der-flammen 2018-01-18 |Bernd Beier| ausland []
|articles/0076_Mit großem Knall zurück zum Kampf.txt| https://jungle.world/artikel/2018/04/mit-grossem-knall-zurueck-zum-kampf 2018-01-25 |David Graaff| ausland []
|articles/0077_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
|articles/0078_Die Normalisierung des Ausnahmezustands.txt| https://jungle.world/artikel/2018/04/die-normalisierung-des-ausnahmezustands 2018-01-28 |René Thannhäuser| ausland []
|articles/0079_Fury in the White House.txt| https://jungle.world/artikel/2018/03/fury-white-house 2018-01-18 |Elke Wittich| dschungel []
|articles/0080_Beliebter grüner Fleck.txt| https://jungle.world/artikel/2018/04/beliebter-gruener-fleck 2018-01-25 |Linda Schnepel| reportage []
|articles/0081_Immer Ärger mit der Armee.txt| https://jungle.world/artikel/2018/03/immer-aerger-mit-der-armee 2018-01-18 |Gilbert Kolonko| ausland []
|articles/0082_Spalten und walten.txt| https://jungle.world/artikel/2018/03/spalten-und-walten 2018-01-18 |Detlef zum Winkel| ausland []
|articles/0083_Dein Telefon weiß, wie’s dir geht.txt| https://jungle.world/artikel/2018/04/dein-telefon-weiss-wies-dir-geht 2018-01-25 |Enno Park| seite-16 []
|articles/0084_»Der Reichtum wurde weiter konzentriert«.txt| https://jungle.world/artikel/2018/04/der-reichtum-wurde-weiter-konzentriert 2018-01-25 |Anton Landgraf| interview []
|articles/0085_Der Pakt macht Probleme.txt| https://jungle.world/artikel/2018/04/der-pakt-macht-probleme 2018-01-25 |Nis Melbye| ausland []
|articles/0086_Guter Vorsatz.txt| https://jungle.world/artikel/2018/03/guter-vorsatz 2018-01-18 |Julia Schramm| hotspot []
|articles/0087_Royales statt Rauch.txt| https://jungle.world/artikel/2018/03/royales-statt-rauch 2018-01-18 |Elke Wittich| dschungel []
|articles/0088_»Bei Bitcoin geht es weniger um Technologie als um Psychologie«.txt| https://jungle.world/artikel/2018/04/bei-bitcoin-geht-es-weniger-um-technologie-als-um-psychologie 2018-01-25 |Malte Voß| thema []
|articles/0089_Gefahren in der Kinderstunde.txt| https://jungle.world/artikel/2018/03/gefahren-der-kinderstunde 2018-01-18 |Leo Fischer| dschungel []
|articles/0091_Von wegen eintönig.txt| https://jungle.world/artikel/2018/03/von-wegen-eintoenig 2018-01-18 |Dierk Saathoff| dschungel []
|articles/0092_Shopping immer,  rückwärts nimmer.txt| https://jungle.world/artikel/2018/04/shopping-immer-rueckwaerts-nimmer 2018-01-25 |Hans-Georg Schaefer| dschungel []
|articles/0093_Zu Gast bei Freunden.txt| https://jungle.world/artikel/2018/03/zu-gast-bei-freunden 2018-01-18 |Dominik Klein| hotspot []
|articles/0094_Mit großem Knall zurück zum Kampf.txt| https://jungle.world/artikel/2018/04/mit-grossem-knall-zurueck-zum-kampf 2018-01-25 |David Graaff| ausland []
|articles/0095_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
|articles/0096_Die Normalisierung des Ausnahmezustands.txt| https://jungle.world/artikel/2018/04/die-normalisierung-des-ausnahmezustands 2018-01-28 |René Thannhäuser| ausland []
|articles/0097_»Hetze gegen die Antifa«.txt| https://jungle.world/artikel/2018/03/hetze-gegen-die-antifa 2018-01-18 |Peter Nowak| hotspot []
|articles/0098_Beliebter grüner Fleck.txt| https://jungle.world/artikel/2018/04/beliebter-gruener-fleck 2018-01-25 |Linda Schnepel| reportage []
|articles/0099_Ein besserer Bauernhof ist nicht käuflich.txt| https://jungle.world/artikel/2018/03/ein-besserer-bauernhof-ist-nicht-kaeuflich 2018-01-18 |Roland Röder| inland []
|articles/0100_Dein Telefon weiß, wie’s dir geht.txt| https://jungle.world/artikel/2018/04/dein-telefon-weiss-wies-dir-geht 2018-01-25 |Enno Park| seite-16 []
|articles/0101_»Der Reichtum wurde weiter konzentriert«.txt| https://jungle.world/artikel/2018/04/der-reichtum-wurde-weiter-konzentriert 2018-01-25 |Anton Landgraf| interview []
|articles/0102_Der Pakt macht Probleme.txt| https://jungle.world/artikel/2018/04/der-pakt-macht-probleme 2018-01-25 |Nis Melbye| ausland []
|articles/0103_Kein Feiertag zum Feiern.txt| https://jungle.world/artikel/2018/03/kein-feiertag-zum-feiern 2018-01-18 |Ralf Fischer| inland []
|articles/0104_Es bleibt ungemütlich.txt| https://jungle.world/artikel/2018/03/es-bleibt-ungemuetlich 2018-01-18 |Simon Volpers| sport []
|articles/0105_Ästhetischer Populismus.txt| https://jungle.world/artikel/2018/03/aesthetischer-populismus 2018-01-16 |Felix Schilk| dschungel []
|articles/0106_»Bei Bitcoin geht es weniger um Technologie als um Psychologie«.txt| https://jungle.world/artikel/2018/04/bei-bitcoin-geht-es-weniger-um-technologie-als-um-psychologie 2018-01-25 |Malte Voß| thema []
|articles/0107_Stress im Hinterhof.txt| https://jungle.world/artikel/2018/02/stress-im-hinterhof 2018-01-11 |Marina Klimchuk| reportage []
|articles/0108_Cottbus schaut zu.txt| https://jungle.world/artikel/2018/03/cottbus-schaut-zu 2018-01-18 |Stefan Kullmann| inland []
|articles/0109_Shopping immer,  rückwärts nimmer.txt| https://jungle.world/artikel/2018/04/shopping-immer-rueckwaerts-nimmer 2018-01-25 |Hans-Georg Schaefer| dschungel []
|articles/0110_Mit großem Knall zurück zum Kampf.txt| https://jungle.world/artikel/2018/04/mit-grossem-knall-zurueck-zum-kampf 2018-01-25 |David Graaff| ausland []
|articles/0111_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
|articles/0112_Die Normalisierung des Ausnahmezustands.txt| https://jungle.world/artikel/2018/04/die-normalisierung-des-ausnahmezustands 2018-01-28 |René Thannhäuser| ausland []
|articles/0113_Lob des Faxgeräts.txt| https://jungle.world/artikel/2018/03/lob-des-faxgeraets 2018-01-18 |Hartmut Liebs| inland []
|articles/0114_Aufstand in Roben.txt| https://jungle.world/artikel/2018/02/aufstand-roben 2018-01-11 |Lukas Latz| ausland []
|articles/0115_Beliebter grüner Fleck.txt| https://jungle.world/artikel/2018/04/beliebter-gruener-fleck 2018-01-25 |Linda Schnepel| reportage []
|articles/0116_Früchte des Zorns.txt| https://jungle.world/artikel/2018/03/fruechte-des-zorns 2018-01-17 |Carl Melchers| thema []
|articles/0117_Dein Telefon weiß, wie’s dir geht.txt| https://jungle.world/artikel/2018/04/dein-telefon-weiss-wies-dir-geht 2018-01-25 |Enno Park| seite-16 []
|articles/0118_»Der Reichtum wurde weiter konzentriert«.txt| https://jungle.world/artikel/2018/04/der-reichtum-wurde-weiter-konzentriert 2018-01-25 |Anton Landgraf| interview []
|articles/0119_Der Pakt macht Probleme.txt| https://jungle.world/artikel/2018/04/der-pakt-macht-probleme 2018-01-25 |Nis Melbye| ausland []
|articles/0120_Mit der Hakenkreuzfahne in Palästina.txt| https://jungle.world/artikel/2018/02/mit-der-hakenkreuzfahne-palaestina 2018-01-11 |Ralf Balke| seite-16 []
|articles/0121_Online mit rechten reden?.txt| https://jungle.world/artikel/2018/02/online-mit-rechten-reden 2018-01-11 |Christopher Wimmer| disko []
|articles/0122_»Bei Bitcoin geht es weniger um Technologie als um Psychologie«.txt| https://jungle.world/artikel/2018/04/bei-bitcoin-geht-es-weniger-um-technologie-als-um-psychologie 2018-01-25 |Malte Voß| thema []
|articles/0123_Nicht ein Frauenzentrum weniger.txt| https://jungle.world/artikel/2018/02/nicht-ein-frauenzentrum-weniger 2018-01-11 |Catrin Dingler| ausland []
|articles/0124_Die Partei hat immer recht.txt| https://jungle.world/artikel/2018/02/die-partei-hat-immer-recht 2018-01-11 |Christopher Wimmer| ausland []
|articles/0125_Fragen der Ehre.txt| https://jungle.world/artikel/2018/02/fragen-der-ehre 2018-01-11 |Torsten Lambeck| inland []
|articles/0126_Die Härte der Straße.txt| https://jungle.world/artikel/2018/02/die-haerte-der-strasse 2018-01-11 |Konstantin Nowotny| dschungel []
|articles/0127_Wenn die Ehe ein Monster gebiert.txt| https://jungle.world/artikel/2018/02/wenn-die-ehe-ein-monster-gebiert 2018-01-11 |Esther Buss| dschungel []
|articles/0128_Shopping immer,  rückwärts nimmer.txt| https://jungle.world/artikel/2018/04/shopping-immer-rueckwaerts-nimmer 2018-01-25 |Hans-Georg Schaefer| dschungel []
|articles/0129_Mit großem Knall zurück zum Kampf.txt| https://jungle.world/artikel/2018/04/mit-grossem-knall-zurueck-zum-kampf 2018-01-25 |David Graaff| ausland []
|articles/0130_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
|articles/0131_Die Normalisierung des Ausnahmezustands.txt| https://jungle.world/artikel/2018/04/die-normalisierung-des-ausnahmezustands 2018-01-28 |René Thannhäuser| ausland []
|articles/0132_Erdoğans Reisen.txt| https://jungle.world/artikel/2018/02/erdogans-reisen 2018-01-11 |Bernhard Schmid| ausland []
|articles/0133_Beliebter grüner Fleck.txt| https://jungle.world/artikel/2018/04/beliebter-gruener-fleck 2018-01-25 |Linda Schnepel| reportage []
|articles/0134_Dein Telefon weiß, wie’s dir geht.txt| https://jungle.world/artikel/2018/04/dein-telefon-weiss-wies-dir-geht 2018-01-25 |Enno Park| seite-16 []
|articles/0135_»Der Reichtum wurde weiter konzentriert«.txt| https://jungle.world/artikel/2018/04/der-reichtum-wurde-weiter-konzentriert 2018-01-25 |Anton Landgraf| interview []
|articles/0136_Der Pakt macht Probleme.txt| https://jungle.world/artikel/2018/04/der-pakt-macht-probleme 2018-01-25 |Nis Melbye| ausland []
|articles/0137_Das Jahr des sozialen Friedens.txt| https://jungle.world/artikel/2018/02/das-jahr-des-sozialen-friedens 2018-01-11 |Stefan Dietl| inland []
|articles/0138_»Bei Bitcoin geht es weniger um Technologie als um Psychologie«.txt| https://jungle.world/artikel/2018/04/bei-bitcoin-geht-es-weniger-um-technologie-als-um-psychologie 2018-01-25 |Malte Voß| thema []
|articles/0139_Mit Knüppel auf dem Dach.txt| https://jungle.world/artikel/2018/02/mit-knueppel-auf-dem-dach 2018-01-11 |Sabine Küper-Büsch| ausland []
|articles/0140_Das gute Kopftuch.txt| https://jungle.world/artikel/2018/02/das-gute-kopftuch 2018-01-11 |Hannah Wettig| thema []
|articles/0141_Shopping immer,  rückwärts nimmer.txt| https://jungle.world/artikel/2018/04/shopping-immer-rueckwaerts-nimmer 2018-01-25 |Hans-Georg Schaefer| dschungel []
|articles/0142_Mit großem Knall zurück zum Kampf.txt| https://jungle.world/artikel/2018/04/mit-grossem-knall-zurueck-zum-kampf 2018-01-25 |David Graaff| ausland []
|articles/0143_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
|articles/0144_Die Normalisierung des Ausnahmezustands.txt| https://jungle.world/artikel/2018/04/die-normalisierung-des-ausnahmezustands 2018-01-28 |René Thannhäuser| ausland []
|articles/0145_Salafismus als Frauensache.txt| https://jungle.world/artikel/2018/02/salafismus-als-frauensache 2018-01-11 |Ralf Fischer| inland []
|articles/0146_Schachmatt für Anna Muzychuk.txt| https://jungle.world/artikel/2018/02/schachmatt-fuer-anna-muzychuk 2018-01-11 |Alina Schwermer| sport []
|articles/0147_Beliebter grüner Fleck.txt| https://jungle.world/artikel/2018/04/beliebter-gruener-fleck 2018-01-25 |Linda Schnepel| reportage []
|articles/0148_Langsam dämmert es.txt| https://jungle.world/artikel/2018/02/langsam-daemmert-es 2018-01-11 |Chrissi Wilkens| ausland []
|articles/0149_Die Bedeutung der Farbe.txt| https://jungle.world/artikel/2018/02/die-bedeutung-der-farbe 2018-01-11 |Dierk Saathoff| dschungel []
|articles/0150_Rechtsextremismus ist Regierungssache.txt| https://jungle.world/artikel/2018/02/rechtsextremismus-ist-regierungssache 2018-01-11 |Karl Pfeifer| antifa []
|articles/0151_Dein Telefon weiß, wie’s dir geht.txt| https://jungle.world/artikel/2018/04/dein-telefon-weiss-wies-dir-geht 2018-01-25 |Enno Park| seite-16 []
|articles/0152_»Der Reichtum wurde weiter konzentriert«.txt| https://jungle.world/artikel/2018/04/der-reichtum-wurde-weiter-konzentriert 2018-01-25 |Anton Landgraf| interview []
|articles/0153_Der Pakt macht Probleme.txt| https://jungle.world/artikel/2018/04/der-pakt-macht-probleme 2018-01-25 |Nis Melbye| ausland []
|articles/0154_Es geht ums Ganze.txt| https://jungle.world/artikel/2018/02/es-geht-ums-ganze 2018-01-11 |Thomas von der Osten-Sacken| thema []
|articles/0155_»Bei Bitcoin geht es weniger um Technologie als um Psychologie«.txt| https://jungle.world/artikel/2018/04/bei-bitcoin-geht-es-weniger-um-technologie-als-um-psychologie 2018-01-25 |Malte Voß| thema []
|articles/0156_Besondere Vorkommnisse.txt| https://jungle.world/artikel/2018/02/besondere-vorkommnisse 2018-01-11 |Alexander Nabert| inland []
|articles/0157_Das Ende der Illusionen.txt| https://jungle.world/artikel/2018/02/das-ende-der-illusionen 2018-01-11 |Jörn Schulz| thema []
|articles/0158_Leider ist der Präsident ein Vollidiot.txt| https://jungle.world/artikel/2018/02/leider-ist-der-praesident-ein-vollidiot 2018-01-11 |Leo Fischer| dschungel []
|articles/0159_»Die Mittelschicht muss sich anschließen«.txt| https://jungle.world/artikel/2018/02/die-mittelschicht-muss-sich-anschliessen 2018-01-11 |Carl Melchers| thema []
|articles/0160_Shopping immer,  rückwärts nimmer.txt| https://jungle.world/artikel/2018/04/shopping-immer-rueckwaerts-nimmer 2018-01-25 |Hans-Georg Schaefer| dschungel []
|articles/0161_»Es gab eine Manipulation wie in der Nazizeit«.txt| https://jungle.world/artikel/2018/02/es-gab-eine-manipulation-wie-der-nazizeit 2018-01-11 |Bernd Beier| interview []
|articles/0162_Mit großem Knall zurück zum Kampf.txt| https://jungle.world/artikel/2018/04/mit-grossem-knall-zurueck-zum-kampf 2018-01-25 |David Graaff| ausland []
|articles/0163_Gelände für kollektive Experimente.txt| https://jungle.world/artikel/2018/04/gelaende-fuer-kollektive-experimente 2018-01-25 |Bernhard Schmid| ausland []
|articles/0164_Die Normalisierung des Ausnahmezustands.txt| https://jungle.world/artikel/2018/04/die-normalisierung-des-ausnahmezustands 2018-01-28 |René Thannhäuser| ausland []
|articles/0165_Beliebter grüner Fleck.txt| https://jungle.world/artikel/2018/04/beliebter-gruener-fleck 2018-01-25 |Linda Schnepel| reportage []
|articles/0166_Gedenken für Deutsche.txt| https://jungle.world/artikel/2018/02/gedenken-fuer-deutsche 2018-01-11 |René Loch| inland []
|articles/0167_Allein unter Ökos.txt| https://jungle.world/artikel/2018/02/allein-unter-oekos 2018-01-11 |Roland Röder| inland []
|articles/0168_Dein Telefon weiß, wie’s dir geht.txt| https://jungle.world/artikel/2018/04/dein-telefon-weiss-wies-dir-geht 2018-01-25 |Enno Park| seite-16 []
|articles/0169_»Der Reichtum wurde weiter konzentriert«.txt| https://jungle.world/artikel/2018/04/der-reichtum-wurde-weiter-konzentriert 2018-01-25 |Anton Landgraf| interview []
|articles/0170_Der Pakt macht Probleme.txt| https://jungle.world/artikel/2018/04/der-pakt-macht-probleme 2018-01-25 |Nis Melbye| ausland []
