data/compact1.txt https://www.compact-online.de/wow-chinesische-soldatinnen-die-schaerfste-waffe-gegen-uncle-sam/ 2018-01-25 |['Jürgen Elsässer'] | Internationale Politik |radically right| None
data/compact15.txt https://www.compact-online.de/chinas-plan-im-nahen-osten-handel-machen-nicht-krieg/ 2018-01-22 |['Pepe Escobar'] | Allgemein |radically right| None
data/compact16.txt https://www.compact-online.de/berlin-schloss-rein-souveraen-raus/ 2018-01-22 |['Jonas Glaser'] | Kultur |radically right| None
data/compact17.txt https://www.compact-online.de/diese-frau-drueckte-den-finger-ganz-tief-in-die-wunde-der-spd-spitze-video/ 2018-01-22 |['Katja Wolters'] | Innenpolitik |radically right| None
data/compact18.txt https://www.compact-online.de/zwei-billionen-euro-im-muell-was-uns-der-klimaschutz-kostet/ 2018-01-22 |['Marc Dassen'] | Allgemein |radically right| None
data/compact19.txt https://www.compact-online.de/nochmal-vier-jahre-groko-compact-braucht-sie/ 2018-01-21 |['COMPACT-Magazin'] | Aktuell |radically right| None
data/compact20.txt https://www.compact-online.de/die-rueckkehr-der-groko-zombies/ 2018-01-21 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact21.txt https://www.compact-online.de/schulz-auf-spd-parteitag-obergrenze-fuer-fluechtlinge-gibt-es-mit-uns-auf-keinen-fall/ 2018-01-21 |['Tino Perlick'] | Allgemein |radically right| None
data/compact22.txt https://www.compact-online.de/compact-pirincci-akif-fans-sind-jetzt-schon-aus-dem-haeuschen/ 2018-01-21 |['COMPACT-Shop'] | Aktuell |radically right| None
data/compact23.txt https://www.compact-online.de/die-woche-compact-patrioten-gegen-ig-metall-compact-tv-ist-zurueck/ 2018-01-21 |['COMPACT-TV'] | COMPACT TV |radically right| None
data/compact24.txt https://www.compact-online.de/wir-bekamen-befehl-auf-beide-seiten-zu-schiessen-maidanmassaker-2014-aufgeklaert-2/ 2018-01-21 |['COMPACT-Magazin'] | Internationale Politik |radically right| None
data/compact25.txt https://www.compact-online.de/goldmadl-mit-gewehr-superstar-laura-dahlmeier/ 2018-01-21 |['COMPACT-Magazin'] | Allgemein |radically right| None
data/compact26.txt https://www.compact-online.de/wut-fluechtling-aras-bacho-ja-wir-geben-unser-alter-falsch-an/ 2018-01-20 |['Marc Dassen'] | Aktuell |radically right| None
data/compact27.txt https://www.compact-online.de/auslaendische-biathlon-fans-schmeissen-deutschlandhasser-vor-die-tuer/ 2018-01-20 |['Online-Autor'] | Allgemein |radically right| None
data/compact28.txt https://www.compact-online.de/3-sonderhefte-zum-preis-von-2-compact-schnaeppchen-zu-trumps-erstem-jahr/ 2018-01-20 |['COMPACT-Shop'] | Allgemein |radically right| None
data/compact29.txt https://www.compact-online.de/widerstand-in-goerlitz-cottbus-greifswald-buerger-gehen-auf-auf-die-strasse-compact-ist-dabei/ 2018-01-20 |['Jürgen Elsässer'] | Highlights |radically right| None
data/compact30.txt https://www.compact-online.de/ein-jahr-trump-der-grosse-faktencheck/ 2018-01-19 |['COMPACT-Magazin'] | Allgemein |radically right| None
data/compact31.txt https://www.compact-online.de/groko-oder-die-haltbarkeit-eines-joghurts-in-der-sonne/ 2018-01-19 |['Marc Dassen'] | Aktuell |radically right| None
data/compact32.txt https://www.compact-online.de/afd-fraktion-revanchiert-sich-fuer-nichtwahl-von-reusch/ 2018-01-19 |['Tino Perlick'] | Allgemein |radically right| None
data/compact33.txt https://www.compact-online.de/afd-kandidat-einzug-ins-geheimdienst-kontrollgremium-verwehrt-interview-mit-roman-reusch/ 2018-01-19 |['COMPACT-Magazin'] | Innenpolitik |radically right| None
data/compact34.txt https://www.compact-online.de/deutscher-michel-deutscher-kaempfer/ 2018-01-19 |['Online-Autor'] | Kultur |radically right| None
data/compact35.txt https://www.compact-online.de/ein-traum-wird-wahr-akif-pirincci-ueber-sein-neues-magazin/ 2018-01-18 |['COMPACT-Magazin'] | Highlights |radically right| None
data/compact36.txt https://www.compact-online.de/erfahrungsbericht-eines-soldaten-wie-die-bundeswehr-zerstoert-wird/ 2018-01-18 |['COMPACT-Magazin'] | Allgemein |radically right| None
data/compact37.txt https://www.compact-online.de/trump-vergibt-fake-news-auszeichnung-2017-jetzt-sind-sie-dran-umfrage/ 2018-01-18 |['COMPACT-Magazin'] | Medien |radically right| None
data/compact38.txt https://www.compact-online.de/die-gabriel-affaere-waffendeal-mit-erdogan-fuer-freilassung-von-deniz-yuecel/ 2018-01-18 |['Marc Dassen'] | Aktuell |radically right| None
data/compact39.txt https://www.compact-online.de/spiegel-contra-compact-haben-die-angst-vor-uns/ 2018-01-18 |['Jürgen Elsässer'] | Medien |radically right| None
data/compact40.txt https://www.compact-online.de/chinas-kampf-gegen-den-us-dollar/ 2018-01-17 |['Daniell Pföhringer'] | Internationale Politik |radically right| None
data/compact41.txt https://www.compact-online.de/chinas-kampf-gegen-den-us-dollar/ 2018-01-17 |['Daniell Pföhringer'] | Internationale Politik |radically right| None
data/compact42.txt https://www.compact-online.de/europaweiter-ausbruch-mutierter-keim-der-toedlichsten-bakteriellen-infektionskrankheit-eingeschleppt/ 2018-01-17 |['Max Z. Kowalsky'] | Allgemein |radically right| None
data/compact43.txt https://www.compact-online.de/zwischen-joschka-und-jutta/ 2018-01-17 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact44.txt https://www.compact-online.de/alternative-fakten-kommentar-zum-unwort-des-jahres/ 2018-01-16 |['Marc Dassen'] | Aktuell |radically right| None
data/compact45.txt https://www.compact-online.de/afd-bayern-groko-sondierung-und-eu-regel-verschaerfen-asylkrise-in-deutschland/ 2018-01-16 |['Online-Autor'] | Innenpolitik |radically right| None
data/compact46.txt https://www.compact-online.de/protektionist-unter-globalisten-donald-trump-kommt-nach-davos/ 2018-01-16 |['A. Benjamine Moser'] | Internationale Politik |radically right| None
data/compact47.txt https://www.compact-online.de/zu-wenig-geld-ig-metall-betriebsrat-wechselt-ins-management/ 2018-01-16 |['Martin Müller-Mertens'] | Innenpolitik |radically right| None
data/compact48.txt https://www.compact-online.de/sueueueuess-diese-asylanten/ 2018-01-16 |['COMPACT-Magazin'] | Medien |radically right| None
data/compact49.txt https://www.compact-online.de/hohes-risiko-langfristiger-inhaftierung-us-reisewarnung-fuer-nordkorea-wirft-fragen-auf/ 2018-01-15 |['Marc Dassen'] | Aktuell |radically right| None
data/compact50.txt https://www.compact-online.de/verarscht-was-anstelle-des-familiennachzugs-droht-ist-viel-viel-schlimmer/ 2018-01-15 |['Tino Perlick'] | Highlights |radically right| None
data/compact51.txt https://www.compact-online.de/die-wahrheit-ueber-den-kika-skandal-multikultis-liefern-minderjaehrige-ans-messer/ 2018-01-15 |['Marc Dassen'] | Aktuell |radically right| None
data/compact52.txt https://www.compact-online.de/casablanca-oder-die-zweite-chance/ 2018-01-14 |['Jonas Glaser'] | Kultur |radically right| None
data/compact53.txt https://www.compact-online.de/die-rechte-linke/ 2018-01-14 |['Martin Müller-Mertens'] | Innenpolitik |radically right| None
data/compact54.txt https://www.compact-online.de/frei-ist-wer-regeln-verinnerlicht/ 2018-01-14 |['COMPACT-Magazin'] | Kultur |radically right| None
data/compact55.txt https://www.compact-online.de/die-grosse-elsaesser-story-im-spiegel-was-ist-dran/ 2018-01-13 |['Jürgen Elsässer'] | Medien |radically right| None
data/compact56.txt https://www.compact-online.de/gauland-und-weidel-ueber-groko-sondierung-weiter-so-statt-aufbruch/ 2018-01-13 |['Online-Autor'] | Innenpolitik |radically right| None
data/compact57.txt https://www.compact-online.de/fuer-die-demokratie-brauchen-wir-den-nationalstaat/ 2018-01-13 |['COMPACT-Magazin'] | Allgemein |radically right| None
data/compact58.txt https://www.compact-online.de/in-bayern-kann-2018-geschichte-geschrieben-werden/ 2018-01-13 |['Online-Autor'] | Innenpolitik |radically right| None
data/compact59.txt https://www.compact-online.de/kitas-altenheime-und-breitbandausbau-groko-sondierer-im-wachkoma/ 2018-01-12 |['Tino Perlick'] | Innenpolitik |radically right| None
data/compact60.txt https://www.compact-online.de/durchbruch-bei-groko-sondierungen-oder-die-nacht-der-lebenden-toten/ 2018-01-12 |['Max Z. Kowalsky'] | Allgemein |radically right| None
data/compact61.txt https://www.compact-online.de/china-ist-ein-schlafender-loewe-wenn-er-aufwacht-verrueckt-er-die-welt/ 2018-01-12 |['COMPACT-Magazin'] | Highlights |radically right| None
data/compact62.txt https://www.compact-online.de/vor-95-jahren-franzosen-und-belgier-besetzen-das-ruhrgebiet/ 2018-01-11 |['Tino Perlick'] | Innenpolitik |radically right| None
data/compact63.txt https://www.compact-online.de/elektrisch-in-die-sackgasse/ 2018-01-11 |['COMPACT-Magazin'] | Innenpolitik |radically right| None
data/compact64.txt https://www.compact-online.de/netzdg-in-30-sekunden-erklaert-video/ 2018-01-11 |['Katja Wolters'] | Innenpolitik |radically right| None
data/compact65.txt https://www.compact-online.de/besser-als-wie-tennis-bumm-bumm-boris-gegen-jens-maier-afd/ 2018-01-11 |['Jürgen Elsässer'] | Allgemein |radically right| None
data/compact66.txt https://www.compact-online.de/iran-will-eindeutige-beweise-fuer-beteiligung-der-cia-an-protesten-haben/ 2018-01-10 |['Max Z. Kowalsky'] | Internationale Politik |radically right| None
data/compact67.txt https://www.compact-online.de/familiennachzug-7-facher-nachzug-im-rhein-erft-kreis-auswaertiges-amt-nimmt-schon-terminwuensche-entgegen/ 2018-01-10 |['Tino Perlick'] | Allgemein |radically right| None
data/compact68.txt https://www.compact-online.de/kampf-ums-abendland/ 2018-01-10 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact69.txt https://www.compact-online.de/compact-umfrage-wer-ist-ihr-lieblingsheld-in-der-deutschen-geschichte/ 2018-01-09 |['COMPACT-Magazin'] | Allgemein |radically right| None
data/compact70.txt https://www.compact-online.de/compact-spezial-usa-gegen-china-jetzt-vorbestellbar/ 2018-01-09 |['COMPACT-Shop'] | Highlights |radically right| None
data/compact71.txt https://www.compact-online.de/tuerkische-invasion-in-syrien-koennte-bevorstehen/ 2018-01-09 |['Martin Müller-Mertens'] | Internationale Politik |radically right| None
data/compact72.txt https://www.compact-online.de/der-vater-der-feldherr-der-volksheld/ 2018-01-09 |['COMPACT-Shop'] | Kultur |radically right| None
data/compact73.txt https://www.compact-online.de/multikulti-hirnwaesche-im-kinderkanal-der-syrer-und-seine-deutsche-prinzessin/ 2018-01-08 |['Marc Dassen'] | Aktuell |radically right| None
data/compact74.txt https://www.compact-online.de/requiem-fuer-einen-bettler/ 2018-01-08 |['Jonas Glaser'] | Innenpolitik |radically right| None
data/compact75.txt https://www.compact-online.de/jutta-ditfurth-erklaert-warum-alterspruefungen-bei-migranten-nicht-machbar-seien/ 2018-01-08 |['Marc Dassen'] | Aktuell |radically right| None
data/compact76.txt https://www.compact-online.de/wer-haette-sonst-einen-grund-gehabt-zum-filmstart-von-aus-dem-nichts/ 2018-01-08 |['Max Z. Kowalsky'] | Innenpolitik |radically right| None
data/compact77.txt https://www.compact-online.de/heiko-maas-vorher-ist-auch-schon-geloescht-worden/ 2018-01-08 |['Katja Wolters'] | Allgemein |radically right| None
data/compact78.txt https://www.compact-online.de/deutsche-sind-genau-so-gewalttaetig-wie-migranten-ach-wirklich-blutige-bilanz-zum-jahresbeginn/ 2018-01-07 |['Marc Dassen'] | Aktuell |radically right| None
data/compact79.txt https://www.compact-online.de/nsu-geheimdienste-am-tatort/ 2018-01-07 |['COMPACT-Magazin'] | Innenpolitik |radically right| None
data/compact80.txt https://www.compact-online.de/locht-sie-ein-us-justizbehoerde-ermittelt-gegen-clinton-stiftung/ 2018-01-07 |['COMPACT-Magazin'] | Internationale Politik |radically right| None
data/compact81.txt https://www.compact-online.de/locht-sie-ein-us-justizbehoerde-ermittelt-gegen-clinton-stiftung/ 2018-01-07 |['COMPACT-Magazin'] | Internationale Politik |radically right| None
data/compact82.txt https://www.compact-online.de/staatssekretaerin-chebli-meinungsfreiheit-schuetzt-man-nicht-wenn-man-alles-sagen-darf/ 2018-01-06 |['Marc Dassen'] | Allgemein |radically right| None
data/compact83.txt https://www.compact-online.de/das-dunkle-geheimnis-des-dr-sex/ 2018-01-06 |['COMPACT-Magazin'] | Internationale Politik |radically right| None
data/compact84.txt https://www.compact-online.de/beamte-banditen-und-bandidos/ 2018-01-06 |['COMPACT-Magazin'] | Innenpolitik |radically right| None
data/compact85.txt https://www.compact-online.de/nie-wieder-meinungsfreiheit-compact-dreierpack-gegen-den-brd-maulkorb/ 2018-01-05 |['COMPACT-Shop'] | Aktuell |radically right| None
data/compact86.txt https://www.compact-online.de/das-vermaechtnis-des-nikola-tesla/ 2018-01-05 |['COMPACT-Magazin'] | Allgemein |radically right| None
data/compact87.txt https://www.compact-online.de/stratosphaerenspringer-felix-baumgartner-fragt-brauchen-wir-den-orf-noch/ 2018-01-05 |['Online-Autor'] | Medien |radically right| None
data/compact88.txt https://www.compact-online.de/kandel-buerger-erstattet-anzeige-wegen-mordes-gegen-abdul-d/ 2018-01-04 |['Tino Perlick'] | Highlights |radically right| None
data/compact89.txt https://www.compact-online.de/vorsicht-volksverhetzung-der-juristische-totschlaeger/ 2018-01-04 |['COMPACT-Magazin'] | Highlights |radically right| None
data/compact90.txt https://www.compact-online.de/die-gewalttaetigen-proteste-im-iran-und-die-neue-dimension-weltpolitischer-konfrontationen/ 2018-01-04 |['Seyed Alireza Mousavi'] | Internationale Politik |radically right| None
data/compact91.txt https://www.compact-online.de/oesterreich-das-will-die-neue-regierung/ 2018-01-04 |['Online-Autor'] | Internationale Politik |radically right| None
data/compact92.txt https://www.compact-online.de/windraeder-fressen-jobs-wie-siemens-arbeitsplaetze-vernichtet/ 2018-01-03 |['COMPACT-Magazin'] | Innenpolitik |radically right| None
data/compact93.txt https://www.compact-online.de/ard-film-zeigt-rechtsradikales-europa-dessen-einwohner-nach-afrika-fluechten/ 2018-01-03 |['Karel Meissner'] | Highlights |radically right| None
data/compact94.txt https://www.compact-online.de/iran-bunte-revolution-oder-fraktionskaempfe/ 2018-01-02 |['Martin Müller-Mertens'] | Internationale Politik |radically right| None
data/compact95.txt https://www.compact-online.de/europaeischer-gerichtshof-fuer-menschenrechte-verhandelt-den-fall-deniz-yuecel/ 2018-01-02 |['V. Berger'] | Innenpolitik |radically right| None
data/compact96.txt https://www.compact-online.de/serge-mengas-video-zum-messermord-im-dm-markt-auf-youtube-geloescht/ 2018-01-02 |['COMPACT-Magazin'] | Innenpolitik |radically right| None
data/compact97.txt https://www.compact-online.de/ard-chef-wir-brauchen-noch-viel-mehr-zwangsgebuehren/ 2018-01-01 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact98.txt https://www.compact-online.de/us-genderversandhaus-penis-protesen-fuer-maedchen/ 2018-01-01 |['Paula Varga'] | Internationale Politik |radically right| None
data/compact99.txt https://www.compact-online.de/ticker-silvester-in-merkel-deutschland/ 2018-01-01 |['COMPACT-Magazin'] | Innenpolitik |radically right| None
data/compact100.txt https://www.compact-online.de/alle-wollen-diversity-vielfalt-aber-nicht-auf-politischer-ebene/ 2018-01-01 |['COMPACT-Shop'] | Innenpolitik |radically right| None
data/compact101.txt https://www.compact-online.de/volle-verarschung-merkels-neujahrsansprache-kommentiert-von-juergen-elsaesser/ 2017-12-31 |['Jürgen Elsässer'] | Highlights |radically right| None
data/compact102.txt https://www.compact-online.de/lafontaine-fordert-neue-sammlungsbewegung/ 2017-12-31 |['Martin Müller-Mertens'] | Innenpolitik |radically right| None
data/compact103.txt https://www.compact-online.de/gauland-von-us-magazin-zu-einem-der-70-wichtigsten-denker-gewaehlt/ 2017-12-31 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact104.txt https://www.compact-online.de/die-feinde-sind-unter-uns/ 2017-12-31 |['Online-Autor'] | Innenpolitik |radically right| None
data/compact105.txt https://www.compact-online.de/tolerante-linke-will-buecher-in-postdamer-bibliothek-zensieren/ 2017-12-30 |['Paula Varga'] | Innenpolitik |radically right| None
data/compact106.txt https://www.compact-online.de/serge-menga-ueber-den-messermord-im-dm-markt-schuetzt-eure-frauen-und-toechter/ 2017-12-30 |['Online-Autor'] | Innenpolitik |radically right| None
data/compact107.txt https://www.compact-online.de/armer-martin-schulz-nur-wenige-wollen-seine-vereinigten-staaten-von-europa/ 2017-12-30 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact108.txt https://www.compact-online.de/wieder-gruppenvergewaltigung-in-malmoe-schweden/ 2017-12-29 |['Paula Varga'] | Internationale Politik |radically right| None
data/compact109.txt https://www.compact-online.de/messermoerder-von-kandel-schon-wegen-mutmasslicher-koerperverletzung-bekannt/ 2017-12-29 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact110.txt https://www.compact-online.de/frauenpower-gegen-metoo-im-grunde-ist-das-linker-rassismus/ 2017-12-29 |['Tino Perlick'] | Highlights |radically right| None
data/compact111.txt https://www.compact-online.de/patriotischer-sportverein-das-neue-projekt-der-ib-nrw/ 2017-12-29 |['COMPACT-Magazin'] | Innenpolitik |radically right| None
data/compact112.txt https://www.compact-online.de/messermord-in-drogerie-taeter-war-ex-freund-der-ermordeten/ 2017-12-28 |['Online-Autor'] | Allgemein |radically right| None
data/compact113.txt https://www.compact-online.de/linke-us-professoren-trump-ist-ein-nazi-weil-er-frohe-weihnachten-wuenscht/ 2017-12-28 |['Online-Autor'] | Internationale Politik |radically right| None
data/compact114.txt https://www.compact-online.de/sterben-die-eisbaeren-aus-fotojournalist-trickst-die-klimakatastrophe-herbei-und-wird-erwischt/ 2017-12-28 |['Marc Dassen'] | Aktuell |radically right| None
data/compact115.txt https://www.compact-online.de/wir-bekamen-befehl-auf-beide-seiten-zu-schiessen-maidanmassaker-2014-aufgeklaert/ 2017-12-28 |['COMPACT-Shop'] | Internationale Politik |radically right| None
data/compact116.txt https://www.compact-online.de/elsaessers-weihnachtsgeschichte-ein-zuckerbaecker-an-der-ostfront-anno-2042/ 2017-12-28 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact117.txt https://www.compact-online.de/mainstream-propaganda-deutsche-sind-unzufrieden-weil-es-ihnen-zu-gut-geht/ 2017-12-27 |['V. Berger'] | Innenpolitik |radically right| None
data/compact118.txt https://www.compact-online.de/antisemitische-hamas-sendungen-im-kinder-tv-auch-in-deutschland-zu-empfangen/ 2017-12-27 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact119.txt https://www.compact-online.de/bitte-ein-bitcoin-2018-wird-zum-jahr-des-virtuellen-geldes/ 2017-12-27 |['COMPACT-Shop'] | Innenpolitik |radically right| None
data/compact120.txt https://www.compact-online.de/umfrage-47-prozent-wollen-merkels-fruehzeitigen-ruecktritt/ 2017-12-27 |['Online-Autor'] | Innenpolitik |radically right| None
data/compact121.txt https://www.compact-online.de/goetterdaemmerung-in-bern/ 2017-12-26 |['A. Benjamine Moser'] | Allgemein |radically right| None
data/compact122.txt https://www.compact-online.de/tschechien-erteilt-euro-phantasien-erneut-abfuhr/ 2017-12-26 |['Martin Müller-Mertens'] | Internationale Politik |radically right| None
data/compact123.txt https://www.compact-online.de/richtig-gendern-mit-neuem-duden/ 2017-12-26 |['V. Berger'] | Innenpolitik |radically right| None
data/compact124.txt https://www.compact-online.de/elektrisch-in-die-sackgasse-als-umweltschutz-getarnte-enteignung/ 2017-12-26 |['COMPACT-Shop'] | Innenpolitik |radically right| None
data/compact125.txt https://www.compact-online.de/kriegsprophezeiung-durch-us-general-leaking-oder-nur-motivationspaedagogik/ 2017-12-25 |['Paula Varga'] | Internationale Politik |radically right| None
data/compact126.txt https://www.compact-online.de/wie-einfallsreich-fake-news-ist-favorit-fuer-das-unwort-des-jahres-2017/ 2017-12-25 |['V. Berger'] | Innenpolitik |radically right| None
data/compact127.txt https://www.compact-online.de/der-monsanto-minister-wie-die-politik-vor-den-konzernen-kriecht/ 2017-12-25 |['COMPACT-Shop'] | Innenpolitik |radically right| None
data/compact128.txt https://www.compact-online.de/helft-euch-selbst-dann-hilft-euch-steinmeier-ein-kommentar-zur-weihnachtsansprache-des-bundespraesidenten/ 2017-12-25 |['Online-Autor'] | Innenpolitik |radically right| None
data/compact129.txt https://www.compact-online.de/wofuer-es-sich-zu-kaempfen-lohnt-compact-sagt-danke/ 2017-12-24 |['Marc Dassen'] | Aktuell |radically right| None
data/compact130.txt https://www.compact-online.de/der-heliand-ein-sachsensang-aus-dem-neunten-jahrhundert/ 2017-12-24 |['Online-Autor'] | Innenpolitik |radically right| None
data/compact131.txt https://www.compact-online.de/das-abendland-hat-sich-verbraucht-vom-untergang-der-zivilisationen/ 2017-12-24 |['COMPACT-Shop'] | Innenpolitik |radically right| None
data/compact132.txt https://www.compact-online.de/christel-neudeck-keine-falsche-ruecksichtnahmen-gegen-islamisten/ 2017-12-24 |['Online-Autor'] | Innenpolitik |radically right| None
data/compact133.txt https://www.compact-online.de/die-schrottreife-brd-armee-bundeswehr-mietet-flugstunden-beim-adac/ 2017-12-23 |['Marc Dassen'] | Aktuell |radically right| None
data/compact134.txt https://www.compact-online.de/daenemark-verschaerft-erneut-kontrolle-an-grenze-zu-deutschland/ 2017-12-23 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact135.txt https://www.compact-online.de/theorie-vom-zusammenhang-zwischen-klimawandel-und-fluechtlingsstroemen-erledigt/ 2017-12-23 |['Online-Autor'] | Innenpolitik |radically right| None
data/compact136.txt https://www.compact-online.de/jobcenter-verweigert-hartz-empfaengern-die-grundsicherung-bundesverfassungsgericht-hat-leider-keine-zeit/ 2017-12-23 |['Valentina Schacht'] | Internationale Politik |radically right| None
data/compact137.txt https://www.compact-online.de/angebot-der-woche-compact-geschichte-1000-jahre-deutsches-reich/ 2017-12-22 |['COMPACT-Shop'] | Allgemein |radically right| None
data/compact138.txt https://www.compact-online.de/ungarn-solidarisiert-sich-mit-polen-gegen-eu-strafmassnahmen/ 2017-12-22 |['COMPACT-Shop'] | Internationale Politik |radically right| None
data/compact139.txt https://www.compact-online.de/der-mann-der-frankreichs-konservative-wieder-in-die-rechte-spur-bringen-will/ 2017-12-22 |['Max Z. Kowalsky'] | Allgemein |radically right| None
data/compact140.txt https://www.compact-online.de/angebot-der-woche-gerhard-wisnewski-verheimlicht-vertuscht-vergessen-2018/ 2017-12-22 |['COMPACT-Shop'] | Innenpolitik |radically right| None
data/compact141.txt https://www.compact-online.de/katalonien-absolute-mehrheit-fuer-unabhaengigkeitsbefuerworter/ 2017-12-22 |['Martin Müller-Mertens'] | Internationale Politik |radically right| None
data/compact142.txt https://www.compact-online.de/die-neue-compact-kampf-ums-abendland-samstag-am-kiosk-videoheftvorstellung/ 2017-12-22 |['COMPACT-Shop'] | Allgemein |radically right| None
data/compact143.txt https://www.compact-online.de/zahl-der-rentner-an-tafeln-innerhalb-von-10-jahren-explodiert/ 2017-12-22 |['Online-Autor'] | Innenpolitik |radically right| None
data/compact144.txt https://www.compact-online.de/kinder-lasst-euch-nicht-erzaehlen-dass-dies-das-beste-deutschland-aller-zeiten-sei/ 2017-12-22 |['Marc Dassen'] | Allgemein |radically right| None
data/compact145.txt https://www.compact-online.de/personaler-des-jahres-gehen-sie-zurueck-in-ihre-heimat-krieg-ist-vorbei/ 2017-12-21 |['Tino Perlick'] | Allgemein |radically right| None
data/compact146.txt https://www.compact-online.de/experte-deckt-auf-mit-oekostrom-zurueck-in-richtung-mittelalter/ 2017-12-21 |['Valentina Schacht'] | Innenpolitik |radically right| None
data/compact147.txt https://www.compact-online.de/katalonien-was-spricht-fuer-die-abspaltung-und-was-dagegen-teil-2/ 2017-12-21 |['Martin Müller-Mertens'] | Internationale Politik |radically right| None
data/compact148.txt https://www.compact-online.de/lindner-jamaika-moeglich-nach-neuwahlen-ohne-merkel/ 2017-12-21 |['Tino Perlick'] | Innenpolitik |radically right| None
data/compact149.txt https://www.compact-online.de/wem-soll-man-glauben-tillerson-oder-trump/ 2017-12-21 |['Ron Paul'] | Internationale Politik |radically right| None
data/compact150.txt https://www.compact-online.de/schwedischer-liebestoeter-sex-ohne-vertrag-ab-2018-vergewaltigung/ 2017-12-21 |['V. Berger'] | Innenpolitik |radically right| None
data/compact151.txt https://www.compact-online.de/video-solidaritaet-mit-jebsen-elsaesser-gegen-morddrohungen-und-gewaltaufrufe/ 2017-12-20 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact152.txt https://www.compact-online.de/geschichte-wird-gemacht/ 2017-12-20 |['COMPACT-Magazin'] | Aktuell |radically right| None
data/compact153.txt https://www.compact-online.de/usa-kinderbuch-mit-farbigen-homosexuellen-nikolaus/ 2017-12-20 |['Karel Meissner'] | Internationale Politik |radically right| None
data/compact154.txt https://www.compact-online.de/kein-opfer-ist-vergessen-identitaere-errichten-mahnmal-fuer-merkels-opfer/ 2017-12-20 |['Marc Dassen'] | Aktuell |radically right| None
data/compact155.txt https://www.compact-online.de/keiner-sollte-mehr-auf-die-nazikeule-reagieren/ 2017-12-20 |['Online-Autor'] | Allgemein |radically right| None
data/compact156.txt https://www.compact-online.de/pilotsendung-die-neuen-compact-tv-nachrichten-im-test/ 2017-12-20 |['COMPACT-TV'] | Allgemein |radically right| None
